;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"Vittime di omicidio secondo la relazione con l'omicida e il sesso per regione
Anno 2020 (a) (tassi per 100.000 abitanti)";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
"REGIONI
RIPARTIZIONI GEOGRAFICHE";MASCHI;;;;;;;FEMMINE;;;;;;;TOTALE;;;;;;
Lazio; 	0,04; 	0,18; 	0,11; 	0,25; 	0,11; 	0,69;; 	0,13; 	0,10; 	0,03; 	-0; 	-0; 	0,27;; 	0,09; 	0,14; 	0,07; 	0,12; 	0,05; 	0,47;
Abruzzo; 	-0; 	0,16; 	-0; 	0,16; 	-0; 	0,32;; 	0,15; 	-0; 	-0; 	-0; 	-0; 	0,15;; 	0,08; 	0,08; 	-0; 	0,08; 	-0; 	0,23;
Molise; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;
Campania; 	-0; 	0,07; 	0,04; 	0,54; 	0,36; 	1,01;; 	0,21; 	0,10; 	0,03; 	-0; 	-0; 	0,34;; 	0,11; 	0,09; 	0,04; 	0,26; 	0,18; 	0,67;
Puglia; 	0,05; 	-0; 	0,16; 	0,42; 	0,26; 	0,89;; 	0,05; 	0,05; 	0,05; 	0,10; 	-0; 	0,25;; 	0,05; 	0,03; 	0,10; 	0,25; 	0,13; 	0,56;
Basilicata; 	-0; 	0,37; 	-0; 	0,74; 	-0; 	1,11;; 	-0; 	-0; 	-0; 	-0; 	-0; 	-0;; 	-0; 	0,18; 	-0; 	0,36; 	-0; 	0,55;
Calabria; 	-0; 	0,32; 	0,11; 	0,22; 	0,32; 	0,97;; 	0,21; 	0,10; 	-0; 	0,10; 	-0; 	0,42;; 	0,11; 	0,21; 	0,05; 	0,16; 	0,16; 	0,69;
Sicilia; 	-0; 	0,25; 	0,13; 	0,42; 	0,13; 	0,93;; 	0,24; 	0,04; 	0,08; 	0,04; 	-0; 	0,40;; 	0,12; 	0,14; 	0,10; 	0,23; 	0,06; 	0,66;
Sardegna; 	-0; 	0,13; 	0,25; 	0,38; 	0,13; 	0,89;; 	0,37; 	-0; 	-0; 	-0; 	-0; 	0,37;; 	0,19; 	0,06; 	0,12; 	0,19; 	0,06; 	0,62;
;;;;;;;;;;;;;;;;;;;;;
Nord-ovest; 	0,04; 	0,18; 	0,05; 	0,18; 	0,01; 	0,46;; 	0,32; 	0,16; 	0,02; 	0,04; 	-0; 	0,54;; 	0,18; 	0,17; 	0,04; 	0,11; 	0,01; 	0,50;
Nord-est; 	-0; 	0,09; 	0,07; 	0,11; 	-0; 	0,26;; 	0,20; 	0,07; 	0,03; 	0,02; 	-0; 	0,32;; 	0,10; 	0,08; 	0,05; 	0,06; 	-0; 	0,29;
Centro; 	0,02; 	0,11; 	0,09; 	0,28; 	0,05; 	0,54;; 	0,16; 	0,11; 	0,03; 	0,02; 	-0; 	0,33;; 	0,09; 	0,11; 	0,06; 	0,14; 	0,03; 	0,43;
Sud; 	0,02; 	0,11; 	0,08; 	0,42; 	0,27; 	0,89;; 	0,14; 	0,07; 	0,03; 	0,04; 	-0; 	0,29;; 	0,08; 	0,09; 	0,05; 	0,23; 	0,13; 	0,58;
Isole; 	-0; 	0,22; 	0,16; 	0,41; 	0,13; 	0,92;; 	0,27; 	0,03; 	0,06; 	0,03; 	-0; 	0,39;; 	0,14; 	0,12; 	0,11; 	0,22; 	0,06; 	0,65;
Italia; 	0,02; 	0,13; 	0,08; 	0,27; 	0,09; 	0,59;; 	0,22; 	0,10; 	0,03; 	0,03; 	-0; 	0,38;; 	0,12; 	0,12; 	0,06; 	0,14; 	0,04; 	0,48;
;;;;;;;;;;;;;;;;;;;;;
Fonte: Ministero dell'interno, Direzione centrale della Polizia criminale ;;;;;;;;;;;;;;;;;;;;;
(a) I dati relativi alla relazione vittima di omicidio e autore sono estratti dal database degli omicidi del Ministero dell’Interno (DCPC). Trattandosi di un dato utilizzato a fini operativi, esso è suscettibile di modifiche che possono emergere in estrazioni successive.;;;;;;;;;;;;;;;;;;;;;
(b) Per partner si intende il marito o la moglie, il o la convivente, il fidanzato o la fidanzata.;;;;;;;;;;;;;;;;;;;;;
