"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","MOTIVOPS1","Motivi della chiamata","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2020","2020",10,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2021","2021",11,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","NRP","Non Indicato","2022","2022",18,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"ITNI","Non indicato","USERS","utenti del 1522","EMERGENCY","emergenza","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2020","2020",1,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2022","2022",3,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2020","2020",10,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2021","2021",11,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2022","2022",18,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2020","2020",9,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2021","2021",11,,
"ITNI","Non indicato","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2022","2022",15,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","IT","Italia","2020","2020",124,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","IT","Italia","2021","2021",144,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","IT","Italia","2022","2022",84,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","IT","Italia","2020","2020",1141,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","IT","Italia","2021","2021",1286,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","IT","Italia","2022","2022",982,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","IT","Italia","2020","2020",1265,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","IT","Italia","2021","2021",1430,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","IT","Italia","2022","2022",1066,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","IT","Italia","2020","2020",339,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","IT","Italia","2021","2021",290,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","IT","Italia","2022","2022",132,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","IT","Italia","2020","2020",10065,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","IT","Italia","2021","2021",10201,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","IT","Italia","2022","2022",7760,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","IT","Italia","2020","2020",10404,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","IT","Italia","2021","2021",10491,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","IT","Italia","2022","2022",7892,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","M","maschi","IT","Italia","2020","2020",9,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","M","maschi","IT","Italia","2021","2021",8,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","M","maschi","IT","Italia","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","F","femmine","IT","Italia","2020","2020",3,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","F","femmine","IT","Italia","2021","2021",7,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","T","totale","IT","Italia","2020","2020",12,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","T","totale","IT","Italia","2021","2021",15,,
"IT","Italia","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","T","totale","IT","Italia","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","IT","Italia","2020","2020",512,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","IT","Italia","2021","2021",714,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","IT","Italia","2022","2022",335,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","IT","Italia","2020","2020",1914,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","IT","Italia","2021","2021",2051,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","IT","Italia","2022","2022",1184,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","IT","Italia","2020","2020",2426,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","IT","Italia","2021","2021",2765,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","IT","Italia","2022","2022",1519,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","M","maschi","IT","Italia","2020","2020",3,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","M","maschi","IT","Italia","2021","2021",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","M","maschi","IT","Italia","2022","2022",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","IT","Italia","2020","2020",108,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","IT","Italia","2021","2021",51,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","F","femmine","IT","Italia","2022","2022",13,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","IT","Italia","2020","2020",111,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","IT","Italia","2021","2021",52,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","T","totale","IT","Italia","2022","2022",14,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","IT","Italia","2020","2020",1078,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","IT","Italia","2021","2021",1581,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","M","maschi","IT","Italia","2022","2022",1805,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","IT","Italia","2020","2020",4841,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","IT","Italia","2021","2021",7416,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","F","femmine","IT","Italia","2022","2022",7630,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","IT","Italia","2020","2020",5919,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","IT","Italia","2021","2021",8997,,
"IT","Italia","USERS","utenti del 1522","INFO_HELP_1522","informazioni sul servizio 1522","T","totale","IT","Italia","2022","2022",9435,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","IT","Italia","2020","2020",328,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","IT","Italia","2021","2021",350,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","M","maschi","IT","Italia","2022","2022",321,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","IT","Italia","2020","2020",4298,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","IT","Italia","2021","2021",4581,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","F","femmine","IT","Italia","2022","2022",4118,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","IT","Italia","2020","2020",4626,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","IT","Italia","2021","2021",4931,,
"IT","Italia","USERS","utenti del 1522","INFO_NAT_SHELT","informazioni sui Centri Antiviolenza Nazionali","T","totale","IT","Italia","2022","2022",4439,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","M","maschi","IT","Italia","2020","2020",98,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","M","maschi","IT","Italia","2021","2021",195,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","M","maschi","IT","Italia","2022","2022",121,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","F","femmine","IT","Italia","2020","2020",433,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","F","femmine","IT","Italia","2021","2021",938,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","F","femmine","IT","Italia","2022","2022",640,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","T","totale","IT","Italia","2020","2020",531,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","T","totale","IT","Italia","2021","2021",1133,,
"IT","Italia","USERS","utenti del 1522","LEGAL_INFO","informazioni giuridiche","T","totale","IT","Italia","2022","2022",761,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","M","maschi","IT","Italia","2020","2020",18,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","M","maschi","IT","Italia","2021","2021",40,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","M","maschi","IT","Italia","2022","2022",82,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","F","femmine","IT","Italia","2020","2020",43,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","F","femmine","IT","Italia","2021","2021",68,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","F","femmine","IT","Italia","2022","2022",75,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","T","totale","IT","Italia","2020","2020",61,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","T","totale","IT","Italia","2021","2021",108,,
"IT","Italia","USERS","utenti del 1522","INFO_FOR_PROF","informazioni per professionisti sulle procedure da adottare in caso di violenza","T","totale","IT","Italia","2022","2022",157,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","M","maschi","IT","Italia","2020","2020",5,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","M","maschi","IT","Italia","2021","2021",1,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","M","maschi","IT","Italia","2022","2022",5,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","F","femmine","IT","Italia","2020","2020",17,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","F","femmine","IT","Italia","2021","2021",8,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","F","femmine","IT","Italia","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","T","totale","IT","Italia","2020","2020",22,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","T","totale","IT","Italia","2021","2021",9,,
"IT","Italia","USERS","utenti del 1522","INFO_PUB_SERV","informazioni sulla responsabilità giuridica degli operatori dei servizi pubblici","T","totale","IT","Italia","2022","2022",7,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","M","maschi","IT","Italia","2020","2020",5,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","M","maschi","IT","Italia","2021","2021",2,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","F","femmine","IT","Italia","2020","2020",42,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","F","femmine","IT","Italia","2021","2021",37,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","F","femmine","IT","Italia","2022","2022",12,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","T","totale","IT","Italia","2020","2020",47,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","T","totale","IT","Italia","2021","2021",39,,
"IT","Italia","USERS","utenti del 1522","REPORT_PUB_SERV","segnalazione disfunzione servizi pubblici/privati","T","totale","IT","Italia","2022","2022",12,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","M","maschi","IT","Italia","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","M","maschi","IT","Italia","2021","2021",2,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","M","maschi","IT","Italia","2022","2022",1,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","F","femmine","IT","Italia","2020","2020",14,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","F","femmine","IT","Italia","2021","2021",9,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","F","femmine","IT","Italia","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","T","totale","IT","Italia","2020","2020",15,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","T","totale","IT","Italia","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","REPORT_MEDIA","segnalazione di informazione scorretta sui media","T","totale","IT","Italia","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","M","maschi","IT","Italia","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","M","maschi","IT","Italia","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","F","femmine","IT","Italia","2020","2020",20,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","T","totale","IT","Italia","2020","2020",21,,
"IT","Italia","USERS","utenti del 1522","INT_AFTER_HOUR","chiamata internazionale fuori orario","T","totale","IT","Italia","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","M","maschi","IT","Italia","2020","2020",769,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","M","maschi","IT","Italia","2021","2021",561,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","M","maschi","IT","Italia","2022","2022",838,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","IT","Italia","2020","2020",3086,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","IT","Italia","2021","2021",3114,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","F","femmine","IT","Italia","2022","2022",3870,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","IT","Italia","2020","2020",3855,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","IT","Italia","2021","2021",3675,,
"IT","Italia","USERS","utenti del 1522","USEFUL_PHONE","numeri utili per chiamate fuori target","T","totale","IT","Italia","2022","2022",4708,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","IT","Italia","2020","2020",3290,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","IT","Italia","2021","2021",3889,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","IT","Italia","2022","2022",3729,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","IT","Italia","2020","2020",26025,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","IT","Italia","2021","2021",29767,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","IT","Italia","2022","2022",26288,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","IT","Italia","2020","2020",29315,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","IT","Italia","2021","2021",33656,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","IT","Italia","2022","2022",30017,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","IT","Italia","2020","2020",22,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","IT","Italia","2021","2021",25,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","IT","Italia","2022","2022",15,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","IT","Italia","2020","2020",274,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","IT","Italia","2021","2021",282,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","IT","Italia","2022","2022",240,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","IT","Italia","2020","2020",296,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","IT","Italia","2021","2021",307,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","IT","Italia","2022","2022",255,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","IT","Italia","2020","2020",47,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","IT","Italia","2021","2021",45,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","IT","Italia","2022","2022",23,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","IT","Italia","2020","2020",2256,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","IT","Italia","2021","2021",2258,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","IT","Italia","2022","2022",1750,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","IT","Italia","2020","2020",2303,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","IT","Italia","2021","2021",2303,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","IT","Italia","2022","2022",1773,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","M","maschi","IT","Italia","2020","2020",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","M","maschi","IT","Italia","2021","2021",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","M","maschi","IT","Italia","2022","2022",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","F","femmine","IT","Italia","2021","2021",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","T","totale","IT","Italia","2020","2020",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","T","totale","IT","Italia","2021","2021",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","VICT_DISCR_SEEK","richiesta di aiuto per discriminazione","T","totale","IT","Italia","2022","2022",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","IT","Italia","2020","2020",125,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","IT","Italia","2021","2021",158,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","IT","Italia","2022","2022",80,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","IT","Italia","2020","2020",459,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","IT","Italia","2021","2021",426,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","IT","Italia","2022","2022",291,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","IT","Italia","2020","2020",584,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","IT","Italia","2021","2021",584,,
"ITC","Nord-ovest","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","IT","Italia","2022","2022",371,,
